Rank,count_pre,count_post,absolute_change,percentage_change,count_pre_normalized,count_post_normalized,absolute_change_normalized,percentage_change_normalized
1.0,40,53,13,32.5,0.006920415224913495,0.009939984996249063,0.003019569771335568,43.63
2.0,7,7,0,0.0,0.0012110726643598615,0.001312828207051763,0.00010175554269190143,8.4
3.0,14,17,3,21.43,0.002422145328719723,0.003188297074268567,0.0007661517455488441,31.63
4.0,8,11,3,37.5,0.001384083044982699,0.0020630157539384846,0.0006789327089557857,49.05
5.0,21,15,-6,-28.57,0.003633217993079585,0.002813203300825206,-0.0008200146922543788,-22.57
6.0,9,15,6,66.67,0.0015570934256055363,0.002813203300825206,0.0012561098752196698,80.67
7.0,22,10,-12,-54.55,0.0038062283737024223,0.0018754688672168042,-0.0019307595064856182,-50.73
8.0,7,5,-2,-28.57,0.0012110726643598615,0.0009377344336084021,-0.0002733382307514594,-22.57
9.0,71,62,-9,-12.68,0.012283737024221454,0.011627906976744186,-0.0006558300474772683,-5.34
10.0,16,18,2,12.5,0.002768166089965398,0.0033758439609902473,0.0006076778710248495,21.95
11.0,11,68,57,518.18,0.0019031141868512112,0.012753188297074268,0.010850074110223058,570.12
12.0,63,58,-5,-7.94,0.010899653979238755,0.010877719429857465,-2.1934549381289956e-05,-0.2
13.0,82,69,-13,-15.85,0.014186851211072665,0.012940735183795949,-0.0012461160272767158,-8.78
14.0,6,26,20,333.33,0.0010380622837370243,0.004876219054763691,0.0038381567710266667,369.74
15.0,9,6,-3,-33.33,0.0015570934256055363,0.0011252813203300824,-0.0004318121052754539,-27.73
16.0,136,108,-28,-20.59,0.023529411764705882,0.020255063765941484,-0.003274347998764398,-13.92
17.0,31,26,-5,-16.13,0.005363321799307958,0.004876219054763691,-0.00048710274454426706,-9.08
18.0,7,5,-2,-28.57,0.0012110726643598615,0.0009377344336084021,-0.0002733382307514594,-22.57
19.0,7,8,1,14.29,0.0012110726643598615,0.0015003750937734434,0.0002893024294135819,23.89
20.0,14,8,-6,-42.86,0.002422145328719723,0.0015003750937734434,-0.0009217702349462796,-38.06
21.0,15,9,-6,-40.0,0.0025951557093425604,0.0016879219804951237,-0.0009072337288474367,-34.96
22.0,121,100,-21,-17.36,0.020934256055363323,0.018754688672168042,-0.0021795673831952814,-10.41
23.0,7,9,2,28.57,0.0012110726643598615,0.0016879219804951237,0.0004768493161352622,39.37
24.0,18,26,8,44.44,0.0031141868512110727,0.004876219054763691,0.0017620322035526185,56.58
25.0,41,30,-11,-26.83,0.0070934256055363324,0.005626406601650412,-0.0014670190038859202,-20.68
26.0,179,231,52,29.05,0.03096885813148789,0.04332333083270818,0.012354472701220292,39.89
27.0,15,16,1,6.67,0.0025951557093425604,0.003000750187546887,0.0004055944782043264,15.63
28.0,9,7,-2,-22.22,0.0015570934256055363,0.001312828207051763,-0.0002442652185537734,-15.69
29.0,10,14,4,40.0,0.0017301038062283738,0.002625656414103526,0.0008955526078751521,51.76
30.0,64,58,-6,-9.38,0.011072664359861591,0.010877719429857465,-0.0001949449300041265,-1.76
31.0,53,29,-24,-45.28,0.00916955017301038,0.005438859714928732,-0.003730690458081648,-40.69
32.0,19,10,-9,-47.37,0.00328719723183391,0.0018754688672168042,-0.001411728364617106,-42.95
33.0,8,3,-5,-62.5,0.001384083044982699,0.0005626406601650412,-0.0008214423848176577,-59.35
34.0,26,35,9,34.62,0.004498269896193772,0.006564141035258815,0.002065871139065043,45.93
35.0,64,52,-12,-18.75,0.011072664359861591,0.009752438109527382,-0.001320226250334209,-11.92
36.0,24,23,-1,-4.17,0.004152249134948097,0.00431357839459865,0.00016132925965055278,3.89
37.0,5,5,0,0.0,0.0008650519031141869,0.0009377344336084021,7.26825304942152e-05,8.4
38.0,36,37,1,2.78,0.006228373702422145,0.006939234808702175,0.00071086110628003,11.41
39.0,7,4,-3,-42.86,0.0012110726643598615,0.0007501875468867217,-0.0004608851174731398,-38.06
40.0,59,33,-26,-44.07,0.010207612456747405,0.0061890472618154535,-0.004018565194931952,-39.37
41.0,12,6,-6,-50.0,0.0020761245674740486,0.0011252813203300824,-0.0009508432471439661,-45.8
42.0,7,4,-3,-42.86,0.0012110726643598615,0.0007501875468867217,-0.0004608851174731398,-38.06
43.0,11,9,-2,-18.18,0.0019031141868512112,0.0016879219804951237,-0.0002151922063560875,-11.31
44.0,8,3,-5,-62.5,0.001384083044982699,0.0005626406601650412,-0.0008214423848176577,-59.35
45.0,157,140,-17,-10.83,0.027162629757785467,0.02625656414103526,-0.0009060656167502075,-3.34
46.0,2,8,6,300.0,0.00034602076124567473,0.0015003750937734434,0.0011543543325277686,333.61
47.0,11,13,2,18.18,0.0019031141868512112,0.0024381095273818456,0.0005349953405306344,28.11
48.0,15,8,-7,-46.67,0.0025951557093425604,0.0015003750937734434,-0.001094780615569117,-42.19
49.0,52,53,1,1.92,0.008996539792387544,0.009939984996249063,0.000943445203861519,10.49
50.0,183,186,3,1.64,0.03166089965397924,0.03488372093023256,0.0032228212762533195,10.18
51.0,17,10,-7,-41.18,0.0029411764705882353,0.0018754688672168042,-0.001065707603371431,-36.23
52.0,9,16,7,77.78,0.0015570934256055363,0.003000750187546887,0.0014436567619413505,92.71
53.0,23,20,-3,-13.04,0.00397923875432526,0.0037509377344336083,-0.00022830101989165146,-5.74
54.0,9,7,-2,-22.22,0.0015570934256055363,0.001312828207051763,-0.0002442652185537734,-15.69
55.0,28,24,-4,-14.29,0.004844290657439446,0.00450112528132033,-0.0003431653761191162,-7.08
56.0,11,5,-6,-54.55,0.0019031141868512112,0.0009377344336084021,-0.0009653797532428091,-50.73
57.0,4,10,6,150.0,0.0006920415224913495,0.0018754688672168042,0.0011834273447254547,171.01
58.0,81,60,-21,-25.93,0.014013840830449827,0.011252813203300824,-0.002761027627149002,-19.7
59.0,14,26,12,85.71,0.002422145328719723,0.004876219054763691,0.002454073726043968,101.32
60.0,11,8,-3,-27.27,0.0019031141868512112,0.0015003750937734434,-0.00040273909307776776,-21.16
61.0,13,12,-1,-7.69,0.002249134948096886,0.002250562640660165,1.4276925632788866e-06,0.06
62.0,7,8,1,14.29,0.0012110726643598615,0.0015003750937734434,0.0002893024294135819,23.89
63.0,48,36,-12,-25.0,0.008304498269896194,0.006751687921980495,-0.0015528103479156997,-18.7
64.0,82,76,-6,-7.32,0.014186851211072665,0.014253563390847712,6.67121797750473e-05,0.47
65.0,15,14,-1,-6.67,0.0025951557093425604,0.002625656414103526,3.0500704760965443e-05,1.18
66.0,15,10,-5,-33.33,0.0025951557093425604,0.0018754688672168042,-0.0007196868421257563,-27.73
67.0,4,6,2,50.0,0.0006920415224913495,0.0011252813203300824,0.000433239797838733,62.6
68.0,9,14,5,55.56,0.0015570934256055363,0.002625656414103526,0.0010685629884979895,68.63
69.0,22,18,-4,-18.18,0.0038062283737024223,0.0033758439609902473,-0.000430384412712175,-11.31
70.0,68,72,4,5.88,0.011764705882352941,0.01350337584396099,0.0017386699616080484,14.78
71.0,12,7,-5,-41.67,0.0020761245674740486,0.001312828207051763,-0.0007632963604222857,-36.77
72.0,9,8,-1,-11.11,0.0015570934256055363,0.0015003750937734434,-5.6718331832092926e-05,-3.64
73.0,8,4,-4,-50.0,0.001384083044982699,0.0007501875468867217,-0.0006338954980959772,-45.8
74.0,8,4,-4,-50.0,0.001384083044982699,0.0007501875468867217,-0.0006338954980959772,-45.8
75.0,36,32,-4,-11.11,0.006228373702422145,0.006001500375093774,-0.0002268733273283717,-3.64
76.0,15,9,-6,-40.0,0.0025951557093425604,0.0016879219804951237,-0.0009072337288474367,-34.96
77.0,9,4,-5,-55.56,0.0015570934256055363,0.0007501875468867217,-0.0008069058787188146,-51.82
78.0,66,68,2,3.03,0.011418685121107266,0.012753188297074268,0.0013345031759670022,11.69
79.0,1,5,4,400.0,0.00017301038062283736,0.0009377344336084021,0.0007647240529855648,442.01
80.0,8,8,0,0.0,0.001384083044982699,0.0015003750937734434,0.00011629204879074449,8.4
81.0,26,14,-12,-46.15,0.004498269896193772,0.002625656414103526,-0.0018726134820902462,-41.63
82.0,9,10,1,11.11,0.0015570934256055363,0.0018754688672168042,0.0003183754416112678,20.45
83.0,8,6,-2,-25.0,0.001384083044982699,0.0011252813203300824,-0.00025880172465261647,-18.7
84.0,6,11,5,83.33,0.0010380622837370243,0.0020630157539384846,0.0010249534702014603,98.74
85.0,9,6,-3,-33.33,0.0015570934256055363,0.0011252813203300824,-0.0004318121052754539,-27.73
86.0,17,23,6,35.29,0.0029411764705882353,0.00431357839459865,0.0013724019240104147,46.66
87.0,29,36,7,24.14,0.005017301038062283,0.006751687921980495,0.0017343868839182113,34.57
88.0,241,277,36,14.94,0.04169550173010381,0.051950487621905475,0.010254985891801668,24.59
89.0,4,9,5,125.0,0.0006920415224913495,0.0016879219804951237,0.0009958804580037742,143.9
90.0,81,61,-20,-24.69,0.014013840830449827,0.011440360090022505,-0.0025734807404273214,-18.36
91.0,8,3,-5,-62.5,0.001384083044982699,0.0005626406601650412,-0.0008214423848176577,-59.35
92.0,6,4,-2,-33.33,0.0010380622837370243,0.0007501875468867217,-0.0002878747368503026,-27.73
93.0,45,51,6,13.33,0.007785467128027681,0.009564891222805702,0.0017794240947780204,22.86
94.0,10,4,-6,-60.0,0.0017301038062283738,0.0007501875468867217,-0.000979916259341652,-56.64
95.0,10,7,-3,-30.0,0.0017301038062283738,0.001312828207051763,-0.0004172755991766108,-24.12
96.0,36,32,-4,-11.11,0.006228373702422145,0.006001500375093774,-0.0002268733273283717,-3.64
97.0,7,6,-1,-14.29,0.0012110726643598615,0.0011252813203300824,-8.579134402977905e-05,-7.08
98.0,196,162,-34,-17.35,0.033910034602076124,0.030382595648912228,-0.003527438953163896,-10.4
99.0,47,37,-10,-21.28,0.008131487889273356,0.006939234808702175,-0.0011922530805711807,-14.66
100.0,16,22,6,37.5,0.002768166089965398,0.004126031507876969,0.0013578654179115714,49.05
101.0,40,31,-9,-22.5,0.006920415224913495,0.005813953488372093,-0.001106461736541402,-15.99
102.0,12,17,5,41.67,0.0020761245674740486,0.003188297074268567,0.0011121725067945185,53.57
103.0,6,5,-1,-16.67,0.0010380622837370243,0.0009377344336084021,-0.00010032785012862222,-9.66
104.0,8,6,-2,-25.0,0.001384083044982699,0.0011252813203300824,-0.00025880172465261647,-18.7
105.0,7,7,0,0.0,0.0012110726643598615,0.001312828207051763,0.00010175554269190143,8.4
106.0,6,7,1,16.67,0.0010380622837370243,0.001312828207051763,0.00027476592331473863,26.47
107.0,9,27,18,200.0,0.0015570934256055363,0.005063765941485371,0.0035066725158798347,225.21
108.0,27,26,-1,-3.7,0.004671280276816609,0.004876219054763691,0.00020493877794708262,4.39
109.0,105,101,-4,-3.81,0.018166089965397925,0.01894223555888972,0.0007761455934917963,4.27
110.0,22,19,-3,-13.64,0.0038062283737024223,0.003563390847711928,-0.0002428375259904943,-6.38
111.0,80,69,-11,-13.75,0.01384083044982699,0.012940735183795949,-0.000900095266031041,-6.5
112.0,6,5,-1,-16.67,0.0010380622837370243,0.0009377344336084021,-0.00010032785012862222,-9.66
113.0,80,82,2,2.5,0.01384083044982699,0.015378844711177795,0.0015380142613508046,11.11
114.0,9,7,-2,-22.22,0.0015570934256055363,0.001312828207051763,-0.0002442652185537734,-15.69
115.0,8,5,-3,-37.5,0.001384083044982699,0.0009377344336084021,-0.00044634861137429684,-32.25
116.0,7,10,3,42.86,0.0012110726643598615,0.0018754688672168042,0.0006643962028569427,54.86
117.0,16,11,-5,-31.25,0.002768166089965398,0.0020630157539384846,-0.0007051503360269132,-25.47
118.0,69,67,-2,-2.9,0.01193771626297578,0.012565641410352588,0.0006279251473768083,5.26
119.0,29,38,9,31.03,0.005017301038062283,0.007126781695423856,0.0021094806573615727,42.04
120.0,10,10,0,0.0,0.0017301038062283738,0.0018754688672168042,0.0001453650609884304,8.4
121.0,17,22,5,29.41,0.0029411764705882353,0.004126031507876969,0.001184855037288734,40.29
122.0,9,4,-5,-55.56,0.0015570934256055363,0.0007501875468867217,-0.0008069058787188146,-51.82
123.0,32,29,-3,-9.38,0.005536332179930796,0.005438859714928732,-9.747246500206325e-05,-1.76
124.0,4,9,5,125.0,0.0006920415224913495,0.0016879219804951237,0.0009958804580037742,143.9
125.0,5,5,0,0.0,0.0008650519031141869,0.0009377344336084021,7.26825304942152e-05,8.4
126.0,12,15,3,25.0,0.0020761245674740486,0.002813203300825206,0.0007370787333511575,35.5
127.0,68,25,-43,-63.24,0.011764705882352941,0.0046886721680420105,-0.0070760337143109305,-60.15
128.0,317,276,-41,-12.93,0.05484429065743945,0.051762940735183796,-0.003081349922255651,-5.62
129.0,16,7,-9,-56.25,0.002768166089965398,0.001312828207051763,-0.001455337882913635,-52.57
130.0,12,9,-3,-25.0,0.0020761245674740486,0.0016879219804951237,-0.0003882025869789249,-18.7
131.0,7,5,-2,-28.57,0.0012110726643598615,0.0009377344336084021,-0.0002733382307514594,-22.57
132.0,5,5,0,0.0,0.0008650519031141869,0.0009377344336084021,7.26825304942152e-05,8.4
133.0,23,18,-5,-21.74,0.00397923875432526,0.0033758439609902473,-0.0006033947933350124,-15.16
134.0,61,50,-11,-18.03,0.01055363321799308,0.009377344336084021,-0.001176288881909059,-11.15
135.0,20,14,-6,-30.0,0.0034602076124567475,0.002625656414103526,-0.0008345511983532217,-24.12
136.0,9,18,9,100.0,0.0015570934256055363,0.0033758439609902473,0.001818750535384711,116.8
137.0,9,6,-3,-33.33,0.0015570934256055363,0.0011252813203300824,-0.0004318121052754539,-27.73
138.0,55,44,-11,-20.0,0.009515570934256055,0.008252063015753939,-0.001263507918502117,-13.28
139.0,7,3,-4,-57.14,0.0012110726643598615,0.0005626406601650412,-0.0006484320041948203,-53.54
140.0,7,6,-1,-14.29,0.0012110726643598615,0.0011252813203300824,-8.579134402977905e-05,-7.08
141.0,10,8,-2,-20.0,0.0017301038062283738,0.0015003750937734434,-0.00022972871245493034,-13.28
142.0,6,6,0,0.0,0.0010380622837370243,0.0011252813203300824,8.721903659305815e-05,8.4
143.0,8,4,-4,-50.0,0.001384083044982699,0.0007501875468867217,-0.0006338954980959772,-45.8
144.0,32,11,-21,-65.62,0.005536332179930796,0.0020630157539384846,-0.003473316425992311,-62.74
145.0,5,5,0,0.0,0.0008650519031141869,0.0009377344336084021,7.26825304942152e-05,8.4
146.0,4,6,2,50.0,0.0006920415224913495,0.0011252813203300824,0.000433239797838733,62.6
147.0,32,25,-7,-21.88,0.005536332179930796,0.0046886721680420105,-0.0008476600118887852,-15.31
148.0,77,86,9,11.69,0.013321799307958477,0.016129032258064516,0.0028072329501060388,21.07
149.0,113,87,-26,-23.01,0.019550173010380624,0.016316579144786198,-0.003233593865594426,-16.54
150.0,3,7,4,133.33,0.0005190311418685121,0.001312828207051763,0.0007937970651832508,152.94
151.0,22,7,-15,-68.18,0.0038062283737024223,0.001312828207051763,-0.002493400166650659,-65.51
152.0,2,8,6,300.0,0.00034602076124567473,0.0015003750937734434,0.0011543543325277686,333.61
153.0,9,3,-6,-66.67,0.0015570934256055363,0.0005626406601650412,-0.0009944527654404951,-63.87
154.0,50,29,-21,-42.0,0.00865051903114187,0.005438859714928732,-0.003211659316213137,-37.13
155.0,15,16,1,6.67,0.0025951557093425604,0.003000750187546887,0.0004055944782043264,15.63
156.0,25,12,-13,-52.0,0.004325259515570935,0.002250562640660165,-0.0020746968749107697,-47.97
157.0,21,18,-3,-14.29,0.003633217993079585,0.0033758439609902473,-0.0002573740320893376,-7.08
158.0,7,5,-2,-28.57,0.0012110726643598615,0.0009377344336084021,-0.0002733382307514594,-22.57
159.0,6,7,1,16.67,0.0010380622837370243,0.001312828207051763,0.00027476592331473863,26.47
160.0,23,32,9,39.13,0.00397923875432526,0.006001500375093774,0.002022261620768514,50.82
161.0,8,11,3,37.5,0.001384083044982699,0.0020630157539384846,0.0006789327089557857,49.05
162.0,71,55,-16,-22.54,0.012283737024221454,0.010315078769692423,-0.0019686582545290314,-16.03
163.0,32,29,-3,-9.38,0.005536332179930796,0.005438859714928732,-9.747246500206325e-05,-1.76
164.0,314,283,-31,-9.87,0.054325259515570934,0.053075768942235556,-0.001249490573335378,-2.3
165.0,64,58,-6,-9.38,0.011072664359861591,0.010877719429857465,-0.0001949449300041265,-1.76
166.0,44,28,-16,-36.36,0.007612456747404845,0.005251312828207052,-0.002361143919197793,-31.02
167.0,10,8,-2,-20.0,0.0017301038062283738,0.0015003750937734434,-0.00022972871245493034,-13.28
168.0,21,29,8,38.1,0.003633217993079585,0.005438859714928732,0.0018056417218491475,49.7
169.0,6,4,-2,-33.33,0.0010380622837370243,0.0007501875468867217,-0.0002878747368503026,-27.73
170.0,9,10,1,11.11,0.0015570934256055363,0.0018754688672168042,0.0003183754416112678,20.45
171.0,24,20,-4,-16.67,0.004152249134948097,0.0037509377344336083,-0.0004013114005144889,-9.66
172.0,11,11,0,0.0,0.0019031141868512112,0.0020630157539384846,0.00015990156708727346,8.4
173.0,5,5,0,0.0,0.0008650519031141869,0.0009377344336084021,7.26825304942152e-05,8.4
174.0,21,8,-13,-61.9,0.003633217993079585,0.0015003750937734434,-0.0021328428993061415,-58.7
175.0,10,10,0,0.0,0.0017301038062283738,0.0018754688672168042,0.0001453650609884304,8.4
176.0,21,22,1,4.76,0.003633217993079585,0.004126031507876969,0.0004928135147973843,13.56
177.0,13,18,5,38.46,0.002249134948096886,0.0033758439609902473,0.0011267090128933613,50.1
178.0,11,7,-4,-36.36,0.0019031141868512112,0.001312828207051763,-0.0005902859797994482,-31.02
179.0,13,19,6,46.15,0.002249134948096886,0.003563390847711928,0.001314255899615042,58.43
180.0,15,14,-1,-6.67,0.0025951557093425604,0.002625656414103526,3.0500704760965443e-05,1.18
181.0,14,11,-3,-21.43,0.002422145328719723,0.0020630157539384846,-0.00035912957478123836,-14.83
182.0,8,9,1,12.5,0.001384083044982699,0.0016879219804951237,0.00030383893551242476,21.95
183.0,9,14,5,55.56,0.0015570934256055363,0.002625656414103526,0.0010685629884979895,68.63
184.0,8,3,-5,-62.5,0.001384083044982699,0.0005626406601650412,-0.0008214423848176577,-59.35
185.0,5,6,1,20.0,0.0008650519031141869,0.0011252813203300824,0.00026022941721589557,30.08
